sector,desc
Wheat Farming," This industry comprises establishments primarily engaged in growing wheat and/or producing wheat seeds.  Cross-References.   Establishments growing wheat in combination with oilseed(s) with the wheat or oilseed(s) not accounting for one- half of the establishment's agricultural production (value of crops for market) are classified in U.S. Industry 111191,  Oilseed and Grain Combination Farming. "
Corn Farming," This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing  corn seeds.  Cross-References. Establishments primarily engaged in--  Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon  Farming; and  Growing corn in combination with oilseed(s) with the corn or oilseed(s) not accounting for one-half of the  establishment's production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and  Grain Combination Farming. "
Corn Farming," This industry comprises establishments primarily engaged in growing corn (except sweet corn) and/or producing  corn seeds.  Cross-References. Establishments primarily engaged in--  Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon  Farming; and  Growing corn in combination with oilseed(s) with the corn or oilseed(s) not accounting for one-half of the  establishment's production (value of crops for market)--are classified in U.S. Industry 111191, Oilseed and  Grain Combination Farming. "
Rice Farming," This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice  seeds.  Cross-References. Establishments primarily engaged in--  Growing wild rice--are classified in U.S. Industry 111199, All Other Grain Farming; and  Growing rice in combination with oilseed(s) with the rice or oilseed(s) not accounting for one-half of the  establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191,  Oilseed and Grain Combination Farming. "
Rice Farming," This industry comprises establishments primarily engaged in growing rice (except wild rice) and/or producing rice  seeds.  Cross-References. Establishments primarily engaged in--  Growing wild rice--are classified in U.S. Industry 111199, All Other Grain Farming; and  Growing rice in combination with oilseed(s) with the rice or oilseed(s) not accounting for one-half of the  establishment's agricultural production (value of crops for market)--are classified in U.S. Industry 111191,  Oilseed and Grain Combination Farming. "
Other Grain Farming," This industry comprises establishments primarily engaged in (1) growing grain(s) and/or producing grain seeds  (except wheat, corn, and rice) or (2) growing a combination of grain(s) and oilseed(s) with no one grain (or family  of grains) or oilseed (or family of oilseeds) accounting for one-half of the establishment's agricultural production  (i.e., value of crops for market). Combination grain(s) and oilseed(s) establishments may produce oilseed(s) and  grain(s) seeds and/or grow oilseed(s) and grain(s).  Illustrative Examples:  Barley farming Oat farming  Rye farming Wild rice farming  Milo farming Oilseed and grain combination farming  Sorghum farming  Cross-References. Establishments primarily engaged in--  Growing wheat--are classified in Industry 11114, Wheat Farming;  Growing corn (except sweet corn)--are classified in Industry 11115, Corn Farming;  Growing sweet corn--are classified in Industry 11121, Vegetable and Melon Farming; and  Growing rice (except wild rice)--are classified in Industry 11116, Rice Farming. "
Oilseed and Grain Combination Farming," This U.S. industry comprises establishments engaged in growing a combination of oilseed(s) and grain(s) with no  one oilseed (or family of oilseeds) or grain (or family of grains) accounting for one-half of the establishment's  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ agricultural production (value of crops for market). These establishments may produce oilseed(s) and grain(s) seeds  and/or grow oilseed(s) and grain(s).  Cross-References.   Establishments engaged in growing one grain (or family of grains) or oilseed (or family of oilseeds) accounting for  one-half of the establishment's agricultural production (i.e., value of crops for market) are classified in Industry  Group 1111, Oilseed and Grain Farming, accordingly by the prominent grain(s) or oilseed(s) grown. "
All Other Grain Farming," This U.S. industry comprises establishments primarily engaged in growing grains and/or producing grain(s) seeds  (except wheat, corn, rice, and oilseed(s) and grain(s) combinations).  Illustrative Examples:  Barley farming Wild rice farming  Sorghum farming Rye farming  Oat farming  Cross-References. Establishments primarily engaged in--  Growing wheat--are classified in Industry 111140, Wheat Farming;  Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming;  Growing rice (except wild rice)--are classified in Industry 111160, Rice Farming;  Growing sweet corn--are classified in U.S. Industry 111219, Other Vegetable (except Potato) and Melon  Farming; and  Growing a combination of grain(s) and oilseed(s) with no one grain (or family of grains) or oilseed (or  family of oilseeds) accounting for one-half of the establishment's agricultural production (value of crops for  market)--are classified in U.S. Industry 111191, Oilseed and Grain Combination Farming. "
Vegetable and Melon Farming," This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable  and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding  plants. The crops included in this industry have an annual growth cycle and are grown in open fields. Climate and  cultural practices limit producing areas but often permit the growing of a combination of crops in a year.  Cross-References. Establishments primarily engaged in--  Growing sugar beets--are classified in Industry 11199, All Other Crop Farming;  Growing vegetables and melons under glass or protective cover--are classified in Industry 11141, Food  Crops Grown Under Cover;  Growing dry peas and beans--are classified in Industry 11113, Dry Pea and Bean Farming;  Growing corn (except sweet corn)--are classified in Industry 11115, Corn Farming;  Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and  Vegetable Canning, Pickling, and Drying; and  Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group "
Vegetable and Melon Farming," This industry comprises establishments primarily engaged in one or more of the following: (1) growing vegetable  and/or melon crops; (2) producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding  plants. The crops included in this industry have an annual growth cycle and are grown in open fields. Climate and  cultural practices limit producing areas but often permit the growing of a combination of crops in a year.  Cross-References. Establishments primarily engaged in--  Growing sugar beets--are classified in Industry 11199, All Other Crop Farming;  Growing vegetables and melons under glass or protective cover--are classified in Industry 11141, Food  Crops Grown Under Cover;  Growing dry peas and beans--are classified in Industry 11113, Dry Pea and Bean Farming;  Growing corn (except sweet corn)--are classified in Industry 11115, Corn Farming;  Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and  Vegetable Canning, Pickling, and Drying; and  Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group "
Fruit and Tree Nut Farming,This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops. The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
Potato Farming," This U.S. industry comprises establishments primarily engaged in growing potatoes and/or producing seed  potatoes.  Cross-References.   Establishments primarily engaged in canning or drying potatoes are classified in Industry 31142, Fruit and  Vegetable Canning, Pickling, and Drying. "
Other Vegetable (except Potato) and Melon Farming," This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) growing  melons and/or vegetables (except potatoes; dry peas; dry beans; field, silage, or seed corn; and sugar beets); (2)  producing vegetable and/or melon seeds; and (3) growing vegetable and/or melon bedding plants.  Illustrative Examples:  Carrot farming Melon farming (e.g., cantaloupe, casaba, honeydew,  Squash farming watermelon)  Green bean farming Vegetable (except potato) farming  Tomato farming Pepper farming (e.g., bell, chili, green, red, sweet  Watermelon farming peppers)  Cross-References. Establishments primarily engaged in--  Growing potatoes, including sweet potatoes and yams--are classified in U.S. Industry 111211, Potato  Farming;  Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming;  Growing vegetables and melons under glass or protective cover--are classified in U.S. Industry 111419,  Other Food Crops Grown Under Cover;  Growing dry peas and beans--are classified in Industry 111130, Dry Pea and Bean Farming;  Growing corn (except sweet corn)--are classified in Industry 111150, Corn Farming;  Canning, pickling, and/or drying (artificially) vegetables--are classified in Industry 31142, Fruit and  Vegetable Canning, Pickling, and Drying; and  Growing fruit on trees and other fruit-bearing plants (except melons)--are classified in Industry Group "
Fruit and Tree Nut Farming,This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops. The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
Fruit and Tree Nut Farming,This industry group comprises establishments primarily engaged in growing fruit and/or tree nut crops. The crops included in this industry group are generally not grown from seeds and have a perennial life cycle.
Orange Groves, This industry comprises establishments primarily engaged in growing oranges. 
Orange Groves, This industry comprises establishments primarily engaged in growing oranges. 
Citrus (except Orange) Groves," This industry comprises establishments primarily engaged in growing citrus fruits (except oranges).  Illustrative Examples:  Citrus groves (except oranges) Tangelo groves  Mandarin groves Lemon groves  Grapefruit groves Tangerine groves  Cross-References.   Establishments primarily engaged in growing oranges are classified in Industry 111310, Orange Groves. "
Citrus (except Orange) Groves," This industry comprises establishments primarily engaged in growing citrus fruits (except oranges).  Illustrative Examples:  Citrus groves (except oranges) Tangelo groves  Mandarin groves Lemon groves  Grapefruit groves Tangerine groves  Cross-References.   Establishments primarily engaged in growing oranges are classified in Industry 111310, Orange Groves. "
Noncitrus Fruit and Tree Nut Farming," This industry comprises establishments primarily engaged in one or more of the following: (1) growing noncitrus  fruits (e.g., apples, grapes, berries, peaches); (2) growing tree nuts (e.g., pecans, almonds, pistachios); or (3) growing  a combination of fruit(s) and tree nut(s) with no one fruit (or family of fruit) or family of tree nuts accounting for  one-half of the establishment's agricultural production (i.e., value of crops for market).  Cross-References. Establishments primarily engaged in--  Harvesting berries or nuts from native and non-cultivated plants--are classified in Industry 11321, Forest  Nurseries and Gathering of Forest Products;  Canning and/or drying (artificially) fruit--are classified in Industry 31142, Fruit and Vegetable Canning,  Pickling, and Drying;  Growing apples and manufacturing alcoholic ciders or growing grapes and manufacturing wines and  brandies--are classified in Industry 31213, Wineries; and  Providing farm management or farm labor services on a contract or fee basis--are classified in Industry "
Support Activities for Crop Production," This industry comprises establishments primarily engaged in providing support activities for growing crops.  Illustrative Examples:  Aerial crop dusting or spraying (i.e., using Planting crops  specialized or dedicated aircraft) Cultivating services  Farm management services Vineyard cultivation services  Cotton ginning  Cross-References. Establishments primarily engaged in--  Performing crop production that are generally known as farms, orchards, groves, or vineyards (including  tenant farms)--are classified in the appropriate crop industry within Subsector 111, Crop Production;  Providing support activities for forestry--are classified in Industry 11531, Support Activities for Forestry;  Landscaping services, such as lawn and maintenance care and ornamental tree and shrub services--are  classified in Industry 56173, Landscaping Services;  Land clearing, land leveling, and earth moving for terracing, ponds, and irrigation--are classified in  Industry 23891, Site Preparation Contractors;  Artificially drying and dehydrating fruits and vegetables--are classified in Industry 31142, Fruit and  Vegetable Canning, Pickling, and Drying;  Stemming and redrying tobacco--are classified in Industry 31223, Tobacco Manufacturing;  Providing water for irrigation--are classified in Industry 22131, Water Supply and Irrigation Systems; and  Buying farm products, such as fruits or vegetables, for resale to other wholesalers or retailers, and  preparing them for market or further processing--are classified in Industry 42448, Fresh Fruit and  Vegetable Merchant Wholesalers.  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ"
Apple Orchards," This U.S. industry comprises establishments primarily engaged in growing apples.  Cross-References. Establishments primarily engaged in--  Growing apples and manufacturing alcoholic ciders--are classified in Industry 312130, Wineries; and  Growing apples in combination with tree nut(s) with the apples or family of tree nuts not accounting for  one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in  U.S. Industry 111336, Fruit and Tree Nut Combination Farming. "
Grape Vineyards," This U.S. industry comprises establishments primarily engaged in growing grapes and/or growing grapes to sun  dry into raisins.  Cross-References. Establishments primarily engaged in--  Drying grapes artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food  Manufacturing;  Growing grapes and manufacturing wines and brandies--are classified in Industry 312130, Wineries; and  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ Growing grapes in combination with tree nut(s) with the grapes or family of tree nuts not accounting for  one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in  U.S. Industry 111336, Fruit and Tree Nut Combination Farming. "
Strawberry Farming," This U.S. industry comprises establishments primarily engaged in growing strawberries.  Cross-References.   Establishments engaged in growing strawberries in combination with tree nut(s) with the strawberries or family of  tree nuts not accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)  are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming. "
Berry (except Strawberry) Farming," This U.S. industry comprises establishments primarily engaged in growing berries.  Illustrative Examples:  Berry (except strawberries) farming Currant farming  Cranberry farming Blueberry farming  Blackberry farming Raspberry farming  Cross-References. Establishments primarily engaged in--  Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming;  Harvesting berries from native and non-cultivated bushes or vines--are classified in Industry 113210, Forest  Nurseries and Gathering of Forest Products; and  Growing berries in combination with tree nut(s) with the berries or family of tree nuts not accounting for  one-half of the establishment's agricultural production (i.e., value of crops for market)--are classified in  U.S. Industry 111336, Fruit and Tree Nut Combination Farming. "
Tree Nut Farming," This U.S. industry comprises establishments primarily engaged in growing tree nuts.  Illustrative Examples:  Almond farming Macadamia farming  Pistachio farming Walnut farming  Filbert farming Pecan farming  Tree nut farming  Cross-References. Establishments primarily engaged in--  Growing coconut and coffee--are classified in U.S. Industry 111339, Other Noncitrus Fruit Farming; and  Growing tree nut(s) in combination with fruit(s) with no one fruit (or family of fruit or of tree nuts)  accounting for one-half of the establishment's agricultural production (i.e., value of crops for market)--are  classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming.  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ"
Fruit and Tree Nut Combination Farming," This U.S. industry comprises establishments primarily engaged in growing a combination of fruit(s) and tree nut(s)  with no one fruit (or family of fruit) or family of tree nuts accounting for one-half of the establishment's agricultural  production (i.e., value of crops for market).  Cross-References.   Establishments engaged in growing fruit(s) or the family of tree nut(s) accounting for one-half of the  establishment's agricultural production (i.e., value of crops for market) are classified in Industry Group 1113, Fruit  and Tree Nut Farming, accordingly by the prominent fruit(s) or tree nut(s) grown. "
Other Noncitrus Fruit Farming," This U.S. industry comprises establishments primarily engaged in growing noncitrus fruits (except apples, grapes,  berries, and fruit(s) and tree nut(s) combinations).  Illustrative Examples:  Apricot farming Peach farming  Fig farming Coffee farming  Banana farming Pineapple farming  Noncitrus fruit farming Date farming  Cherry farming Prune farming  Cross-References. Establishments primarily engaged in--  Growing apples--are classified in U.S. Industry 111331, Apple Orchards;  Growing grapes including sun drying of grapes into raisins--are classified in U.S. Industry 111332, Grape  Vineyards;  Growing strawberries--are classified in U.S. Industry 111333, Strawberry Farming;  Growing berries (except strawberries)--are classified in U.S. Industry 111334, Berry (except Strawberry)  Farming;  Drying fruit artificially--are classified in U.S. Industry 311423, Dried and Dehydrated Food Manufacturing;  and  Growing noncitrus fruit(s) in combination with tree nut(s) with no one fruit (or family of fruits) or family  of tree nuts accounting for one-half of the establishment's agricultural production (i.e., value of crops for  market)--are classified in U.S. Industry 111336, Fruit and Tree Nut Combination Farming. "
"Greenhouse, Nursery, and Floriculture Production"," This industry group comprises establishments primarily engaged in growing crops of any kind under cover and/or  growing nursery stock and flowers. ""Under cover"" is generally defined as greenhouses, cold frames, cloth houses,  and lath houses. The crops grown are removed at various stages of maturity and have annual and perennial life  cycles. The nursery stock includes short rotation woody crops that have growth cycles of 10 years or less. "
Food Crops Grown Under Cover," This industry comprises establishments primarily engaged in growing food crops (e.g., fruits, melons, tomatoes)  under glass or protective cover.  Cross-References.   Establishments primarily engaged in growing vegetable and melon bedding plants are classified in Industry 11121,  Vegetable and Melon Farming.  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ"
Mushroom Production," This U.S. industry comprises establishments primarily engaged in growing mushrooms under cover in mines  underground, or in other controlled environments. "
Other Food Crops Grown Under Cover," This U.S. industry comprises establishments primarily engaged in growing food crops (except mushrooms) under  glass or protective cover.  Illustrative Examples:  Alfalfa sprout farming, grown under cover Hydroponic crop farming  Melon farming, grown under cover Fruit farming, grown under cover  Vegetable farming, grown under cover  Cross-References.   Establishments primarily engaged in growing mushrooms under cover are classified in U.S. Industry 111411,  Mushroom Production. "
Nursery and Floriculture Production," This industry comprises establishments primarily engaged in (1) growing nursery and floriculture products (e.g.,  nursery stock, shrubbery, cut flowers, flower seeds, foliage plants) under cover or in open fields and/or (2) growing  short rotation woody trees with a growing and harvesting cycle of 10 years or less for pulp or tree stock (e.g., cut  Christmas trees, cottonwoods).  Cross-References. Establishments primarily engaged in--  Growing vegetable and melon bedding plants--are classified in Industry 11121, Vegetable and Melon  Farming;  Operating timber tracts (i.e., growing cycle greater than 10 years)--are classified in Industry 11311, Timber  Tract Operations;  Retailing nursery, tree stock, and floriculture products primarily purchased from others--are classified in  Industry 44424, Nursery, Garden Center, and Farm Supply Retailers;  Merchant wholesale distribution of plant seeds and plant bulbs primarily purchased from others--are  classified in Industry 42491, Farm Supplies Merchant Wholesalers; and  Merchant wholesale distribution of nursery stock (except seeds and plant bulbs) primarily purchased from  others--are classified in Industry 42493, Flower, Nursery Stock, and Florists' Supplies Merchant  Wholesalers. "
Nursery and Tree Production," This U.S. industry comprises establishments primarily engaged in (1) growing nursery products, nursery stock,  shrubbery, bulbs, fruit stock, sod, and so forth, under cover or in open fields and/or (2) growing short rotation  woody trees with a growth and harvest cycle of 10 years or less for pulp or tree stock.  Cross-References. Establishments primarily engaged in--  Growing vegetable and melon bedding plants--are classified in Industry 11121, Vegetable and Melon  Farming;  Operating timber tracts (i.e., growing cycle greater than 10 years)--are classified in Industry 113110,  Timber Tract Operations;  TÃÂÃÂ¢ÃÂÃÂÃÂÃÂ Retailing nursery, tree stock, and floriculture products primarily purchased from others--are classified in  Industry 444240, Nursery, Garden Center, and Farm Supply Retailers;  Merchant wholesale distribution of plant seeds and plant bulbs primarily purchased from others--are  classified in Industry 424910, Farm Supplies Merchant Wholesalers; and  Merchant wholesale distribution of nursery stock (except seeds and plant bulbs) primarily purchased from  others--are classified in Industry 424930, Flower, Nursery Stock, and Florists' Supplies Merchant  Wholesalers. "
Floriculture Production," This U.S. industry comprises establishments primarily engaged in growing and/or producing floriculture products  (e.g., cut flowers and roses, cut cultivated greens, potted flowering and foliage plants, and flower seeds) under cover  and in open fields.  Cross-References.   Establishments primarily engaged in retailing floriculture products primarily purchased from others are classified  in Industry 444240, Nursery, Garden Center, and Farm Supply Retailers. "
Other Crop Farming," This industry group comprises establishments primarily engaged in (1) growing crops (except oilseed and/or grain;  vegetable and/or melon; fruit and tree nut; and greenhouse, nursery, and/or floriculture products), such as tobacco,  cotton, sugarcane, hay, sugar beets, peanuts, agave, herbs and spices, and hay and grass seeds, or (2) growing a  combination of crops (except a combination of oilseed(s) and grain(s) and a combination of fruit(s) and tree nut(s)). "
Tobacco Farming, This industry comprises establishments primarily engaged in growing tobacco. 
Tobacco Farming, This industry comprises establishments primarily engaged in growing tobacco. 
Cotton Farming," This industry comprises establishments primarily engaged in growing cotton.  Cross-References.   Establishments primarily engaged in ginning cotton are classified in U.S. Industry 115111, Cotton Ginning. "
Cotton Farming," This industry comprises establishments primarily engaged in growing cotton.  Cross-References.   Establishments primarily engaged in ginning cotton are classified in U.S. Industry 115111, Cotton Ginning. "
Sugarcane Farming, This industry comprises establishments primarily engaged in growing sugarcane. 
Sugarcane Farming, This industry comprises establishments primarily engaged in growing sugarcane. 
Hay Farming," This industry comprises establishments primarily engaged in growing hay, alfalfa, clover, and/or mixed hay.  Cross-References. Establishments primarily engaged in--  Growing grain hay--are classified in Industry Group 1111, Oilseed and Grain Farming; and  Growing grass and hay seeds--are classified in U.S. Industry 111998, All Other Miscellaneous Crop  Farming. "
Hay Farming," This industry comprises establishments primarily engaged in growing hay, alfalfa, clover, and/or mixed hay.  Cross-References. Establishments primarily engaged in--  Growing grain hay--are classified in Industry Group 1111, Oilseed and Grain Farming; and  Growing grass and hay seeds--are classified in U.S. Industry 111998, All Other Miscellaneous Crop  Farming. "
All Other Crop Farming," This industry comprises establishments primarily engaged in (1) growing crops (except oilseeds and/or grains;  vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton;  sugarcane; or hay) or (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a  combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the  establishment's agricultural production (i.e., value of crops for market).  Illustrative Examples:  Agave farming Hay seed farming  Spice farming Maple sap gathering  General combination crop farming (except oilseed Peanut farming  and grain; vegetables and melons; fruit and nut Sugar beet farming  combinations) Grass seed farming  Tea farming  Cross-References. Establishments primarily engaged in--  Growing oilseeds and/or wheat, corn, rice, or other grains--are classified in Industry Group 1111, Oilseed  and Grain Farming;  Growing vegetables and/or melons--are classified in Industry Group 1112, Vegetable and Melon Farming;  Growing fruits and/or tree nuts--are classified in Industry Group 1113, Fruit and Tree Nut Farming;  Growing greenhouse, nursery, and/or floriculture products--are classified in Industry Group 1114,  Greenhouse, Nursery, and Floriculture Production;  Growing tobacco--are classified in Industry 11191, Tobacco Farming;  Growing cotton--are classified in Industry 11192, Cotton Farming;  Growing sugarcane--are classified in Industry 11193, Sugarcane Farming;  Growing hay--are classified in Industry 11194, Hay Farming; and  Growing algae, seaweed, or other aquatic plants--are classified in Industry 11251, Aquaculture. "
Sugar Beet Farming," This U.S. industry comprises establishments primarily engaged in growing sugar beets.  Cross-References.   Establishments primarily engaged in growing beets (except sugar beets) are classified in U.S. Industry 111219,  Other Vegetable (except Potato) and Melon Farming. "
Peanut Farming, This U.S. industry comprises establishments primarily engaged in growing peanuts.
All Other Miscellaneous Crop Farming," This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except  oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture  products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a  combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of  crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3)  gathering tea or maple sap.  Illustrative Examples:  Agave farming Hay seed farming  Mint farming Grass seed farming  General combination crop farming (except oilseed Hop farming  and grain; vegetables and melons; fruit and tree nut Spice farming  combinations)  Cross-References. Establishments primarily engaged in--  Growing oilseeds and/or wheat, corn, rice, or other grains--are classified in Industry Group 1111, Oilseed  and Grain Farming;  Growing vegetables and/or melons--are classified in Industry Group 1112, Vegetable and Melon Farming;  Growing fruits and/or tree nuts--are classified in Industry Group 1113, Fruit and Tree Nut Farming;  Growing greenhouse, nursery, and/or floriculture products--are classified in Industry Group 1114,  Greenhouse, Nursery, and Floriculture Production;  Growing tobacco--are classified in Industry 111910, Tobacco Farming;  Growing cotton--are classified in Industry 111920, Cotton Farming;  Growing sugarcane--are classified in Industry 111930, Sugarcane Farming;  Growing hay--are classified in Industry 111940, Hay Farming;  Growing sugar beets--are classified in U.S. Industry 111991, Sugar Beet Farming;  Growing peanuts--are classified in U.S. Industry 111992, Peanut Farming; and  Growing algae, seaweed, or other aquatic plants--are classified in U.S. Industry 112519, Other  Aquaculture. "
